*Frequency 	VM1-abs	VM1-phase (deg)
19.0546071796325	1.29295398374104E-7	7.46430610073163E-6
21.8776162394955	1.14601420781853E-7	6.62913656633645E-6
25.1188643150958	1.01782974409961E-7	5.90364828243293E-6
28.8403150312661	9.05940759826298E-8	5.27382592976659E-6
33.1131121482591	8.08178353514894E-8	4.72745337186833E-6
38.0189396320561	7.22626650275887E-8	4.25387581251494E-6
43.6515832240166	6.47589437906024E-8	3.84379235878674E-6
50.1187233627272	5.81561832393006E-8	3.48907547184928E-6
57.5439937337156	5.2320761845579E-8	3.18261438632089E-6
66.0693448007596	4.71342985223353E-8	2.9181799713007E-6
75.8577575029183	4.24927258897941E-8	2.69030883810306E-6
87.096358995608	3.83060600852245E-8	2.49420461045271E-6
100	3.44987331503703E-8	2.32565434886436E-6
114.815362149688	3.10101616420204E-8	2.18095804800133E-6
131.825673855641	2.77950285560481E-8	2.05686907931118E-6
151.356124843621	2.48226798480552E-8	1.950543495696E-6
173.780082874938	2.20752027977953E-8	1.85949626394449E-6
199.526231496888	1.95441849699785E-8	1.78156273420356E-6
229.086765276777	1.72266808567434E-8	1.71486404258954E-6
263.026799189538	1.51212531629921E-8	1.65777553895815E-6
301.995172040202	1.32249125996536E-8	1.60889768755008E-6
346.736850452532	1.15313994229632E-8	1.56702917144217E-6
398.107170553497	1.00307750253355E-8	1.53114213956773E-6
457.088189614874	8.70995880999982E-9	1.50035960230665E-6
524.807460249773	7.55374442188217E-9	1.47393502268762E-6
602.559586074357	6.5459063706892E-9	1.45123411253323E-6
691.830970918935	5.67015747532019E-9	1.4317188007002E-6
794.328234724282	4.9108570825771E-9	1.41493329051151E-6
912.010839355909	4.25346405258127E-9	1.40049208551567E-6
1047.1285480509	3.68477606431322E-9	1.38806983783717E-6
1202.26443461741	3.19301144127489E-9	1.37739286579624E-6
1380.38426460288	2.76778630376545E-9	1.36823219446938E-6
1584.89319246112	2.40002920773862E-9	1.36039799096198E-6
1819.70085860998	2.08186364290055E-9	1.35373529516759E-6
2089.29613085404	1.80647860170958E-9	1.34812098344915E-6
2398.83291901949	1.56799970188529E-9	1.34346194695478E-6
2754.22870333816	1.36136791767503E-9	1.33969451749675E-6
3162.27766016838	1.18222939679883E-9	1.33678523369605E-6
3630.78054770101	1.02683760859128E-9	1.33473310826002E-6
4168.69383470335	8.91967763256415E-10	1.33357363586182E-6
4786.30092322638	7.74842740802677E-10	1.33338486943165E-6
5495.40873857625	6.73069445500932E-10	1.33429598895909E-6
6309.57344480193	5.84584405016748E-10	1.33649888482586E-6
7244.35960074989	5.07607462359812E-10	1.34026336334189E-6
8317.6377110267	4.40602498032818E-10	1.34595663008959E-6
9549.92586021434	3.82244224731615E-10	1.35406767416092E-6
10964.7819614319	3.31390184398609E-10	1.36523699839095E-6
12589.2541179417	2.87057121131821E-10	1.38029173045644E-6
14454.3977074593	2.4840088643174E-10	1.40028541075609E-6
16595.8690743756	2.14698961220829E-10	1.42654061864097E-6
19054.6071796325	1.8533460269503E-10	1.46069110733041E-6
21877.6162394955	1.59781656730682E-10	1.5047185235476E-6
25118.8643150958	1.37589370996584E-10	1.56097764846714E-6
28840.315031266	1.18367189789226E-10	1.6322042225069E-6
33113.112148259	1.01770376910612E-10	1.72150152354097E-6
38018.9396320561	8.74879760032158E-11	1.83230592544637E-6
43651.5832240166	7.52345745439049E-11	1.96833629594145E-6
50118.7233627273	6.47464345071803E-11	2.13353471308145E-6
57543.9937337156	5.57812395233518E-11	2.33200402694817E-6
66069.3448007596	4.81197540028303E-11	2.56794039178854E-6
75857.7575029182	4.15675771524234E-11	2.8455475107982E-6
87096.358995608	3.59557847572808E-11	3.16890675838799E-6
100000	3.1140088563657E-11	3.54176598821927E-6
 
